jmeno,mesto,web,dostupnost,cilova_skupina,forma,styl_terapie
"Čiberová, Kateřina",Praha,http://www.katerinaciberova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Kognitivně-behaviorální terapie
"Andrášik, Tomáš",Brno,www.tomandrasik.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Brodská, Martina",Bělá pod Bezdězem,https://individualni-psychoterapie.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Hanousková, Veronika",Hradec Králové,Neuvedeno,Nepřijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Stulíková, Vlasta",Praha 10 - Vršovice,https://vlasta-stulikova.com/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, neuvedeno","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Bastlová Soukupová, Naděžda",Praha 2,www.nadasoukupova.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně, Telefonicky",Psychoterapie zaměřená na tělo
"Soumar, Kateřina",Písek,,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Sajdlová, Jana",Neveklov,https://www.sajdlovaj.eu/,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Perglerová, Klára",Praha 4- Nusle,neuvedeno,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně",Jiný
"Hrbková, Eliška",Praha 8,www.psyche-praha.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Ammer, Jiří",Brno,www.psychoterapie-ammer.cz,Info o dostupnosti na vyžádání,"On-line, Osobně",,Integrativní a eklektické pojetí
"Kopečková, Michaela",Praha 2,neuvedeno,Nepřijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kratěnová, Lenka",31,www.terapieslovem.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Gembčíková, Sandra",Praha 1,terapie-kbt.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Kognitivně-behaviorální terapie
"Krejčíková, Kateřina","Praha, Žižkov",neuvedeno,Přijímám nové klienty,neuvedeno,"Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Zemanová, Terezie",Písek,www.kbt-pisek.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky",Kognitivně-behaviorální terapie
"Adamírová, Blanka",Liberec,https://www.re-start.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Vodičková, Jana",Blovice,neuvedeno,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Hartman, Michal",Praha,https://www.mhterapie.cz/,Přijímám nové klienty,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Hampel, Kateřina",Opava,www.katerinahampel.cz,Přijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Hrešková, Lucia",Bardejovské Kúpele,www.kupelepredusu.com,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Kognitivně-behaviorální terapie
"Mitáš, Václav",Praha 4,www.vaseterapie.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Anderssonová, Tereza",Praha 4,www.jednoduse.help,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Dumitriu, MUDr. Monica",Nusle,https://monicadumitriu.com/,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Kognitivně-behaviorální terapie
"Hrůzová, Jana",Praha 6,https://ineopsychoterapie.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Shymon, Magda",Brno,www.portabrno.cz/sustrova,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,Jiný
"Patzelt, Daniel",Praha,https://www.dpterapie.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Matoušková, Jolana",Plzeň,,Přijímám nové klienty,"On-line, Osobně",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Šorfová, Michaela",Revoluční 1202/20,Neuvedeno,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Fiľová, Petra",Brno,www.voitheia.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Wagner Vovsová, Lucie",Praha 5,https://terapieluma.net/,Přijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Boháčková, Hana",,,Info o dostupnosti na vyžádání,,,
"Pokorná, Zuzana",Brno,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Syslová, Veronika",,,Info o dostupnosti na vyžádání,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Barabášová, Klaudia",Praha 2,,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Vincenc, Jan",Ostrava,https://www.janvincenc.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Fišarová, Zuzana",Pelhřimov,,Info o dostupnosti na vyžádání,Osobně,,"Systémové, systemické a komunikační pojetí"
"Hlynskyy, Aneliia",Liberec,neuvedeno,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Zach, Pavel",Praha 2,,Přijímám nové klienty,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Prušková, Jolana",Praha 2,www.attachment.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Procházka, Jiří",Praha 5,https://jiri-prochazka7.webnode.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Kajzar, Jiří",Praha,https://jiri-kajzar.fyzion.cz/reservations,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Komrsková, Klára",Všetaty,https://app.terapie.cz/profile/2164-Klara-Komrskova,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Lukášková, Kamila",Praha 1,www.terapie-slovem.eu,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Sochorová, Iveta",Tachov,www.tcbiofeedback.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Houdková, Hana",Pacov,neuvedeno,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,Kognitivně-behaviorální terapie
"Šouba, Petr",Hajnice,www.dvojkahajnice.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Klímová, Helena",Praha,www.helena-klimova.cz,Info o dostupnosti na vyžádání,,,
"Tonar, Kristýna",Online,http://www.hypnoterapeutka.cz/,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Luongová, Eva","Praha, Vinohrady",https://app.terapie.cz/profile/2325-Eva-Luongova,Přijímám nové klienty,"Dospělí 18-69, neuvedeno",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Pečený, Ondřej",Praha 4,www.ondrej-peceny.cz,Nepřijímám nové klienty,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Součková, Zuzana",Čáslav,připravují se: www.terapiesouckova.cz,Přijímám nové klienty,"Dospělí 18-69, neuvedeno","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Vavrinčíková, Lenka",Praha 2,https://www.terapievinohradska.cz/; https: //galenclinic.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Dostálová, Alena",Hradec Králové,www.ajkadostalova.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"Možnost terapie venku, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Tesar, Nicole",-,http://www.nicoletesar.com,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospívající (do 17 let)",On-line,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Tavel, Peter",,,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Osyptsova, Tetiana",Praha 2,http://once.kiev.ua,Přijímám nové klienty,"On-line, Osobně",,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Jurišová, Dagmar",Kuřim,https://kouzelen.cz/vlidne-rozhovory/,Přijímám nové klienty,neuvedeno,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Pokorná, Sofie",Praha 1,psychoterapie-pokorna.cz,Přijímám nové klienty,,,Integrativní a eklektické pojetí
"Svozilová, Magdalena",Olomouc,www.terapieprolidi.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Trmalová, Barbora","Praha 2, Vinohrady",www.psychea.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Pivolusková, Hana",Brno,www.psycholog-pivoluskova.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Beswaldová, Eva",Praha 1,www.interapie.cz/eva-beswaldova,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Bílek, Michaela",Havlíčkův Brod,https://www.sojkahb.net/,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně",Kognitivně-behaviorální terapie
"Šikulová, Klára",Brno,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Vacková, Lucie",Praha 10,,Přijímám nové klienty,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Váchová, Hana",Praha 1,https://www.poradna-praha.cz/tym/vachova-hana/,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Míková, Jana",Český Krumlov,https://kbterapie.webnode.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně",Kognitivně-behaviorální terapie
"Novotná, Kateřina",Praha 4 Braník/ Praha 2 Vinohrady,https://www.kontakt-terapie.com/,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let), neuvedeno","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Víchová, Radka",Praha 2,www.spolunado.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","Možnost terapie venku, Osobně",Psychoterapie zaměřená na tělo
"Slavík, Lukáš",Olomouc,www.terapieslavik.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let), neuvedeno",Osobně,Integrativní a eklektické pojetí
"Willantová, Petra",České Budějovice,www.willterapie.cz,Nepřijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kantor, Břetislav",Žabeň,www.bretislavkantor.com,Přijímám nové klienty,"Možnost terapie venku, On-line, Osobně, Telefonicky",,"Systémové, systemické a komunikační pojetí"
"Gallo, Štěpánka",Chomutov,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Papoušková, Kateřina",Praha 5,www.terapiepapouskova.cz,Info o dostupnosti na vyžádání,,,"Systémové, systemické a komunikační pojetí"
"Libánská, Eva",Jihlava,ppjihlava.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Jalušková, Alžběta",Rovensko pod Troskami,https://alzbeta.online/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Kohoutková, Monika",Praha 1,mykoucuje e.cz,Přijímám nové klienty,neuvedeno,"On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Naimanová, Eva",Hradec Králové,"https://nomiahk.cz/, svp-kolin.cz",Info o dostupnosti na vyžádání,"Děti: předškoláci, Děti: první stupeň ZŠ",Osobně,Integrativní a eklektické pojetí
"Rosecká, Dagmar",Praha 3,neuvedeno,Nepřijímám nové klienty,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Schwarc, Štefan",Strakonice,www.dosveta.org/poradenstvi-terapie-rozvoj; generativnikoucink.cz,Přijímám nové klienty,,,"Systémové, systemické a komunikační pojetí"
"Hozáková, Michaela",Praha 4,www.michaela-hozakova-terapie.com,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně, Telefonicky",Integrativní a eklektické pojetí
"Pavlíčková, Jaroslava",Zlín,https://www.pavlickova-poradenstvi.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Šormová, Magdalena",Praha 5,neuvedeno,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+",Osobně,Integrativní a eklektické pojetí
"Basler, Jaromír",Písek,www.psychoterapie-pisek.cz,Přijímám nové klienty,Dospělí 18-69,Osobně,"Systémové, systemické a komunikační pojetí"
"Huamanová, Jana",Opatovice nad Labem,http/www.paroveporadenstvi.cz,Info o dostupnosti na vyžádání,"On-line, Osobně",,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Abrahamová, Tereza",Liberec 7 - Jeřáb,https://allforcare.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně, Telefonicky",Psychoterapie zaměřená na tělo
"Hodoval, Radek",Praha 1,Www.terapiemasmysl.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Pozlerová, Martina",Brno,https://www.martinapozlerova.cz/,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Kokešová, Michaela",Praha 1,www.centrumpsychoterapiepraha.cz,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Vejvodová, Veronika",Praha 1,neuvedeno,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Vávrová, Alena",Praha 6,www.detsky-psycholog.cz,Nepřijímám nové klienty,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Parma, Petr","Praha 4, Kunratice",psychopraha.eu,Nepřijímám nové klienty,,,"Systémové, systemické a komunikační pojetí"
"Howesová, Adéla",Praha 4,cestadomu.cz,Info o dostupnosti na vyžádání,neuvedeno,Osobně,"Systémové, systemické a komunikační pojetí"
"Hogendoorn Urbanová, Hana",Praha 8,https://www.hana-urbanova.cz,Přijímám nové klienty,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně",Integrativní a eklektické pojetí
"Bečvářová, Petra",České Budějovice,www.petrabecvarova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+",Osobně,Psychoterapie zaměřená na tělo
"Jandová, Zuzana",Praha 4,,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Murariková, Kamila",Praha 5,www.dasein.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno","Možnost terapie venku, On-line, Osobně, Telefonicky","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Gonzalo, Désirée",online,multilingualpsychologicalservices.com/,Info o dostupnosti na vyžádání,Dospělí 18-69,On-line,Kognitivně-behaviorální terapie
"Renčínová, Zuzana",Hradec Králové,www.psychoterapie-rencinova.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Smělá, Tereza",Praha 8,https://www.vztahy-psychoterapie.cz/,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Pospíšil, Roman",Plzeň,https://acceptatio.webnode.cz/ https://www.psychosomaterapeut.cz/,Přijímám nové klienty,"Dospělí 18-69, neuvedeno","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Děchtěrenková, Petra",Jihlava,,Přijímám nové klienty,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Kolář, Jan",Votice,www.psychologvotice.cz/,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, Osobně",Integrativní a eklektické pojetí
"Kostková, Naďa",Praha 5,www.mezi-slovy.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Koutná, Karla",Zlín,www.karlakoutna.cz,Info o dostupnosti na vyžádání,"Dospělí 18-69, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Němec, Radek",Praha 8,www.neocentrum.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno",Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Vacek, Ladislav",Olomouc,www.logo-psycho.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno",Osobně,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Konderlová, Barbara",http://www.centrumsamovka.cz,,,,,
"Matuška, František",Praha 4 - Nusle,www.hermesgroup.cz,Přijímám nové klienty,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Klapal, Michal",Hradec Králové,"www.ibsaro.cz, www.ibstera.cz",Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Urbášková, Hana",Praha 1,www.psychoterapie-urbaskova.cz,Přijímám nové klienty,Osobně,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Baláková, Martina",Velké Meziříčí,www.psychoterapiemartina.cz,Přijímám nové klienty,Osobně,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Vašková, Daniela",Nový Jičín,neuvedeno,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)","On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Novotná Kubínková, Denisa",Louny,psychologlouny.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)",On-line,"Systémové, systemické a komunikační pojetí"
"Věžník, Michal",Olomouc,www.dalet.cz,Info o dostupnosti na vyžádání,,,"Systémové, systemické a komunikační pojetí"
"Zvingerová, Nina",Praha 3,www.psyadi.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,Osobně,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Güttnerová, Dagmar",Praha 8,www.ktcentrum.cz,Přijímám nové klienty,"Dospělí 18-69, Dospívající (do 17 let)","Možnost terapie venku, On-line, Osobně, Telefonicky","Systémové, systemické a komunikační pojetí"
"Rothová, Eliška",Praha 6,x,Info o dostupnosti na vyžádání,"On-line, Osobně, Telefonicky",,Psychoterapie zaměřená na tělo
"Bábek, Oskar",Praha 6,,Přijímám nové klienty,,,"Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Státníková, Pavla",Praha 3,www.vpcentrum.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"Možnost terapie venku, On-line, Osobně","Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Mikotová, Andrea",Brno,https://andreamikotova-6.webnode.cz,Info o dostupnosti na vyžádání,Dospělí 18-69,"On-line, Osobně",Integrativní a eklektické pojetí
"Carbolová, Kamila",,,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Smejkal, Jiří",Olomouc,www.smejkalklinickapsychologie.cz,Info o dostupnosti na vyžádání,"Děti: druhý stupeň ZŠ, Děti: předškoláci, Děti: první stupeň ZŠ, Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let)",Osobně,"Systémové, systemické a komunikační pojetí"
"Kočová, Hana",Praha 1,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Hlubinná psychoterapie (např. psychodynamické směry, psychoanalýza, SUR aj.)"
"Olšáková, Iveta",Valašské Meziříčí,www.ivetaolsakova.cz,Přijímám nové klienty,"Dospělí 18-69, Dospělí: 70+","Možnost terapie venku, On-line, Osobně",Jiný
"Byčkov, Jiří",Havířov - Podlesí,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně","Systémové, systemické a komunikační pojetí"
"Kučová, Hana",Praha 6,https://kucova-kbt.cz/,Nepřijímám nové klienty,"Dospělí 18-69, Dospělí: 70+, Dospívající (do 17 let), neuvedeno",Osobně,Kognitivně-behaviorální terapie
"Šikulová, Nina","Praha 2, Vinohrady",,Info o dostupnosti na vyžádání,,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Malinská, Dita",Pardubice,"https://www.psychoterapeut-pardubice.cz, https://ame-centrum.cz",Info o dostupnosti na vyžádání,Osobně,,"Humanistická psychoterapie (např. PCA, Rogers, Daseins, Gestalt, logoterapie aj.)"
"Seinerová, Lenka",Pardubice,neuvedeno,Přijímám nové klienty,Dospělí 18-69,"On-line, Osobně",Kognitivně-behaviorální terapie
